,Table 31,,,,,,,,,
,Gross Foreign Assets of the Banking Sector,,,,,,,,,
,(USD in million),,,,,,,,,
,Particulars,,2024,2025,2025,2026,Percent Change,,,
,,,Mid-Jul,Mid-May,Mid-Jul,Mid-May,Mid-Jul to,Mid-May,,
,,,,,,,2024/25,2025/26,,
,A. Nepal Rastra Bank (1+2),,14646.838708266894,17213.104378159987,18637.428312126067,23368.5621911015,17.520952616516865,25.38512180834101,,
,"1. Gold, SDR, IMF Reserves Position",,816.5608194733151,1019.223886152586,1050.8055655747935,1830.209526706957,24.819102490123086,74.17204349368168,,
,2. Foreign Exchange Reserves,,13830.277888793578,16193.880492007398,17586.622746551275,21538.352664394544,17.090058654056435,22.470089765348504,,
,,Convertible,10481.63329249446,12405.5075521092,13213.990142601166,16646.472204913676,18.354718257433802,25.97612095415738,,
,,Inconvertible,3348.644596299117,3788.3729398981986,4372.632603950108,4891.880459480867,13.131532205151444,11.874948173365524,,
,B. Bank and Financial Institutions *,,1440.579028961512,2210.5943528552766,1915.8077281968792,2652.2603490216184,53.45179323128528,38.440841948052565,,
,,Convertible,1351.3164609431578,2105.2758528860727,1787.3452755955975,2566.848915748795,55.79443555484295,43.61237030116877,,
,,Inconvertible,89.26256801835417,105.3184999692039,128.4624526012817,85.41143327282279,17.98730678188454,-33.51253106001293,,
,C. Gross Foreign Exchange Reserves,,15270.856917755089,18404.474844862674,19502.430474748155,24190.613013416158,20.520249413536163,24.038965526570053,,
,,Convertible,11832.949753437619,14510.783404995273,15001.335418196764,19213.32112066247,22.6303137202092,28.077405011266706,,
,,Share in total (in percent),77.48713655799962,78.8437786316176,76.92033789132368,79.42469713358122,-,-,,
,,Inconvertible,3437.907164317471,3893.691439867402,4501.09505655139,4977.29189275369,13.257608590498918,10.579577418814793,,
,,Share in total (in percent),22.512863442000377,21.156221368382408,23.079662108676306,20.575302866418784,-,-,,
,D. Gross Foreign Assets (A+B),,16087.417737228407,19423.69873101526,20553.236040322947,26020.822540123118,20.73844944093335,26.602071270302318,,
,Import Capacity in Months,,,,,,,,,
,Gross Foreign Exchange Reserves,,,,,,,,,
,,Merchandise,15.599653046224983,17.43254229581365,18.24382503630642,22.551647927852855,-,-,,
,,Merchandise and Services,13.037015773118686,14.686911798549785,15.367878014409722,19.160871250181245,-,-,,
,Gross Foreign Assets,,,,,,,,,
,,Merchandise,16.433795199709156,18.397941398696396,19.22681599788661,24.257856896497294,-,-,,
,,Merchandise and Services,13.73412899607129,15.500260261088318,16.19591079573539,20.610541379774,-,-,,
,E. Foreign Liabilities,,1204.2924359502442,1181.3515644112176,1143.6008989610787,1046.3914346463066,-1.904925319980535,-8.500296248724837,,
,F. Net Foreign Assets(D-E),,14883.125301278162,18242.34716660404,19409.63514136187,24974.431105476808,22.570675159453145,28.670275992238402,,
,G. Change in NFA (before adj. ex. val.)**,,-3978.163346464752,-3673.147461251473,-4921.080678369595,-7572.427024838275,-,-,,
,H. Exchange Valuation,,218.69095027569708,461.48081478858063,590.8591117593407,1933.4016800925776,-,-,,
,I. Change in NFA (G+H)***,,-3759.472396189055,-3211.6666464628925,-4330.221566610255,-5639.025344745697,-,-,,
,Sources : Nepal Rastra Bank and Commercial Banks;  Estimated.,,,,,,,,,
,"* indicates the ""A"",""B"" & "" C"" class financial institutions licensed by NRB.",,,,,,,,,
,**Change in NFA is derived by taking mid-July as base and minus (-) sign indicates increase.,,,,,,,,,
,*** After adjusting exchange valuation gain/loss,,,,,,,,,
,Period-end Middle Rate (Rs/USD),,133.66000000000003,136.54,137.3,153.14,,,,
