Table 38,,,,,,,,,,,,,,,,,,,,,
Monetary Survey (y-o-y),,,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,,,
,,,,,,(Rs. in million),,,,,,,,,,,,,,,
Monetary aggregates,2024,2025,2026,Changes,,,,,,,,,,,,,,,,,
,May,May (R),May (P),2024/25,,2025/26,,,,,,,,,,,,,,,
,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,,,,
"1. Foreign Assets, Net",1876220.9117293993,2490810.082128116,3824584.3794927187,614589.1703987166,32.75675942830322,1333774.2973646028,53.5478118919867,,,,,,,,,,,,,,
1.1 Foreign Assets,2050183.0573683227,2652111.8247328238,3984828.7637944543,601928.767364501,29.359757178812856,1332716.9390616305,50.251159345284755,,,,,,,,,,,,,,
1.2 Foreign Liabilities,173962.14563892334,161301.74260470766,160244.38430173538,-12660.403034215677,-7.277676984103007,-1057.3583029722795,-0.6555157346089453,,,,,,,,,,,,,,
a. Deposits,78663.61108250805,81312.00376682816,100052.18800328884,2648.3926843201043,3.36673164106626,18740.184236460685,23.047254240838036,,,,,,,,,,,,,,
b. Other,95298.5345564153,79989.73883787949,60192.196298446535,-15308.79571853581,-16.064041057707172,-19797.54253943295,-24.750102734499414,,,,,,,,,,,,,,
2. Net Domestic Assets,4797223.644295793,4946113.65842745,4739208.049460428,148890.01413165662,3.1036704805017044,-206905.60896702204,-4.183195600741712,,,,,,,,,,,,,,
2.1 Domestic Credit,6356725.883544592,6698934.166460833,6954156.093608823,342208.2829162404,5.3834047461776136,255221.9271479901,3.8098885704205756,,,,,,,,,,,,,,
a. Net Claims on Government,897162.3800000004,802827.0503374803,682143.2084573101,-94335.32966252009,-10.51485570120763,-120683.84188017016,-15.032358691630895,,,,,,,,,,,,,,
i. Claims on Government,1169768.7000000002,1163805.4,1098506.7,-5963.300000000279,-0.5097845411661535,-65298.69999999995,-5.61079197604685,,,,,,,,,,,,,,
ii. General Government Deposits,272606.31999999983,360978.34966251964,416363.49154268985,88372.02966251981,32.41745446786409,55385.14188017021,15.343064738356201,,,,,,,,,,,,,,
b. Claims on Non-Financial Government Enterprises,3955.6116920451,3013.61289029,1270.47675313,-941.9988017551,-23.814238481737195,-1743.13613716,-57.84207197866936,,,,,,,,,,,,,,
c. Claims on Other Financial Institutions,272469.9215460483,295039.73201834154,310783.1419330091,22569.810472293233,8.2834135761583,15743.409914667543,5.336030441380971,,,,,,,,,,,,,,
i. Government,1207.13319167081,1103.19411182081,611.9150050000001,-103.9390798500001,-8.610406918406126,-491.27910682080983,-44.532426483854145,,,,,,,,,,,,,,
ii. Non-Government,271262.7883543775,293936.5379065207,310171.22692800907,22673.749552143214,8.358591935773456,16234.68902148836,5.5231952914446465,,,,,,,,,,,,,,
d. Claims on Private Sector,5183137.970306499,5598053.771214721,5959959.266465373,414915.80090822186,8.005108165848927,361905.49525065254,6.464844927206241,,,,,,,,,,,,,,
2.2 Net Non-Monetary Liabilities,1559502.239248799,1752820.5080333827,2214948.044148395,193318.26878458378,12.396152048983515,462127.53611501213,26.36479514000591,,,,,,,,,,,,,,
3. Broad Money (M2),6673444.556025192,7436923.740555566,8563792.428953147,763479.1845303737,11.440556344190469,1126868.6883975808,15.1523496503327,,,,,,,,,,,,,,
"3.1 Money Supply (a+b), M1+",3027240.6881967597,3927584.260601002,5498759.060894735,900343.5724042421,29.741393735710886,1571174.8002937334,40.003592438607825,,,,,,,,,,,,,,
a. Money Supply (M1),882465.0794077702,1019546.1046421537,1225469.0427542785,137081.02523438353,15.533875326418556,205922.9381121248,20.197511144863906,,,,,,,,,,,,,,
i. Currency,585971.7617112466,653983.6636213767,704400.3926839366,68011.90191013017,11.606685911196667,50416.7290625599,7.709172547733336,,,,,,,,,,,,,,
ii. Demand Deposits,296493.31322012603,365562.44081851636,521068.578645639,69069.12759839033,23.295340744197905,155506.13782712264,42.538871739376454,,,,,,,,,,,,,,
b. Saving and Call Deposits,2144775.60878899,2908038.1559588476,4273290.018140457,763262.5471698577,35.587058340374384,1365251.862181609,46.947522314453735,,,,,,,,,,,,,,
3.2 Time Deposits,3646203.8678284325,3509339.479954564,3065033.3680584114,-136864.38787386846,-3.7536131504182926,-444306.1118961526,-12.660676302023226,,,,,,,,,,,,,,
4. Broad Money Liquidity (M3),6752108.1671077,7518235.744322394,8663844.616956435,766127.5772146937,11.346494431869687,1145608.8726340411,15.237735442110601,,,,,,,,,,,,,,
P = Provisional,,,,,,,,,,,,,,,,,,,,,
Memorandum Items,,,,,,,,,,,,,,,,,,,,,
Reserve Money,948987.52076943,1042290.63851359,1135624.26666213,93303.11774416,9.831859292365692,93333.62814853992,8.95466434214961,,,,,,,,,,,,,,
Money multiplier (M1),0.9299016689832507,0.9781783189534617,1.0791148786880222,0.04827664997021108,5.191586549467806,0.1009365597345605,10.318830194739034,,,,,,,,,,,,,,
Money multiplier (M1+),3.1899689110161344,3.7682236753101104,4.8420584363320245,0.5782547642939759,18.12728526278265,1.073834761021914,28.497107750206514,,,,,,,,,,,,,,
Money multiplier (M2),7.032173142397518,7.135172729903204,7.5410438825194985,0.10299958750568639,1.464690721061657,0.40587115261629414,5.6883157280174235,,,,,,,,,,,,,,
