Annex 15,,,,,,,,,,,,,,
Outstanding Debt of Government of Nepal,,,,,,,,,,,,,,
Rs. in million,,,,,,,,,,,,,,
Fiscal Year,Nepali Year,Amount,,,As Percent of GDP,,,Annual Growth Rate,,,,,,
,,Domestic Debt,Foreign Debt,Total Debt,Domestic Debt,Foreign Debt,Total Debt,Domestic Debt,Foreign Debt,Total Debt,,,,
1974/75,2031/32,599.3,346.1,945.4,3.610023492560689,2.0848141678212158,5.694837660381904,-,-,-,,,,
1975/76,2032/33,737.1,477.2,1214.3,4.237668161434978,2.743474761411981,6.981142922846958,22.99349240780913,37.87922565732447,28.442987095409364,,,,
1976/77,2033/34,1013.8,629.4,1643.1999999999998,5.866898148148148,3.6423611111111107,9.509259259259258,37.539004205670864,31.89438390611903,35.32076093222432,,,,
1977/78,2034/35,1224.6,972.3,2196.8999999999996,6.207735590814619,4.928777817204845,11.136513408019463,20.793055829552173,54.48045757864634,33.69644595910418,,,,
1978/79,2035/36,1395.2,1320.9,2716.1000000000004,5.339865278628292,5.055496019595837,10.39536129822413,13.93107953617509,35.85313174946006,23.63330147025357,,,,
1979/80,2036/37,1502.8,1807.3,3310.1,6.435698685281144,7.739711361397799,14.175410046678943,7.712155963302749,36.82337799984859,21.869592430322868,,,,
1980/81,2037/38,1443.8,2451.3,3895.1000000000004,5.287288973523272,8.976819130625847,14.26410810414912,-3.926004791056698,35.633265091573065,17.673182079091276,,,,
1981/82,2038/39,1900,3177.8,5077.8,6.131405705434362,10.254937395120692,16.386343100555052,31.597174123839864,29.637335291477996,30.363790403327243,,,,
1982/83,2039/40,2878.1,4717.6,7595.700000000001,8.509801602554626,13.948730078945035,22.458531681499665,51.478947368421046,48.454905909748874,49.58643507030604,,,,
1983/84,2040/41,4337.1,6321.1,10658.2,11.038686688724868,16.088317638075846,27.127004326800712,50.69316563010321,33.989740546040366,40.318864620772274,,,,
1984/85,2041/42,6031.6,9203.2,15234.800000000001,12.946959452207699,19.754867237641406,32.7018266898491,39.06988540729981,45.59491227792631,42.93970839353739,,,,
1985/86,2042/43,7190.2,10330.2,17520.4,12.900922237772274,18.53482613844332,31.4357483762156,19.208833477021003,12.245740611961068,15.002494289390086,,,,
1986/87,2043/44,8997.4,15171.9,24169.3,14.088375297507202,23.756576475009396,37.844951772516595,25.13421045311675,46.86937329383747,37.94947603935981,,,,
1987/88,2044/45,11636,20826,32462,15.13015889527475,27.07981171820144,42.209970613476195,29.326249805499373,37.26692108437308,34.310881986652475,,,,
1988/89,2045/46,12887.9,29216.9,42104.8,14.436988910048168,32.72868824913185,47.16567715918002,10.75885183911997,40.29050225679441,29.704885712525424,,,,
1989/90,2046/47,14673.1,36800.9,51474,14.18842345478456,35.58530594878936,49.77372940357391,13.85175241893559,25.957579346200305,22.252094773042487,,,,
1990/91,2047/48,20855.9,59505.3,80361.20000000001,17.326493312287116,49.43532441638282,66.76181772866995,42.136971737397005,61.69523027969427,56.119982903990376,,,,
1991/92,2048/49,23234.9,70923.9,94158.79999999999,15.54309070353944,47.44486142607718,62.98795212961661,11.406844106463893,19.189215078320743,17.169479798708792,,,,
1992/93,2049/50,25456,87420.8,112876.8,14.845399302518167,50.98195644820789,65.82735575072606,9.55932670250354,23.26000121256729,19.87918282730878,,,,
1993/94,2050/51,30631.21,101966.8,132598.01,15.371557469187843,51.169657553494716,66.54121502268256,20.33002042740415,16.639060726966576,17.471446745478275,,,,
1994/95,2051/52,32057.9,113000.9,145058.8,14.626622561879776,51.55738565073571,66.18400821261548,4.65763513749539,10.821267314459206,9.397418558543961,,,,
1995/96,2052/53,34241.8,128044.4,162286.2,13.756533407254745,51.4414273260135,65.19796073326826,6.812361383621507,13.312725827847387,11.876149533844213,,,,
1996/97,2053/54,35890.8,132086.8,167977.59999999998,12.79470113684571,47.08758595858302,59.88228709542872,4.815751508390335,3.157029905251619,3.507014151542137,,,,
1997/98,2054/55,38406.6,161208,199614.6,12.766241752397415,53.585068723096605,66.35131047549403,7.009595773847323,22.04701756723611,18.834058826891223,,,,
1998/99,2055/56,49669.7,169465.9,219135.59999999998,14.521775485621397,49.546217357237246,64.06799284285863,29.325949185817024,5.122512530395511,9.779344797424613,,,,
1999/00,2056/57,54357,190691.2,245048.2,14.323773083733874,50.24959946032549,64.57337254405937,9.436940428470479,12.524820627630689,11.824915714288338,,,,
2000/01,2057/58,60043.8,201550.6,261594.40000000002,13.599383444873126,45.64940748160918,59.24879092648231,10.461946023511231,5.694756758570918,6.752222623957252,,,,
2001/02,2058/59,73620.9,220125.6,293746.5,16.023962045296468,47.911452584770245,63.93541463006671,22.6119932449312,9.21604798001097,12.290821210239969,,,,
2002/03,2059/60,79518.2,223433.2,302951.4,16.15465821774756,45.39196033735213,61.5466185550997,8.010361188195205,1.5025966993389233,3.133620315476108,,,,
2003/04,2060/61,86133.7,232779.3,318913,16.047294208400338,43.36836700066854,59.41566120906888,8.31947906265485,4.182950429927132,5.268699864070598,,,,
2004/05,2061/62,87564.3,219641.9,307206.2,14.856220869113578,37.264599597230344,52.12082046634393,1.6609062422722047,-5.643714883582859,-3.6708443995697877,,,,
2005/06,2062/63,89954.93400000001,233968.6,323923.534,13.752807948126428,35.77041390183236,49.523221849958794,2.7301468749250546,6.522753627609305,5.441730668196129,,,,
2006/07,2063/64,99303.8,216628.9,315932.7,13.643874789097666,29.763791388647356,43.40766617774502,10.392832926763077,-7.411122689112986,-2.46688899115307,,,,
2007/08,2064/65,111239.135,249965.4,361204.535,13.637959485870132,30.645851372984172,44.2838108588543,12.019011357067882,15.388759302198366,14.329581901461921,,,,
2008/09,2065/66,120873.7,277040.4,397914.10000000003,12.230818829119858,28.03282219992354,40.2636410290434,8.661129017229413,10.831499079472607,10.16309637419144,,,,
2009/10,2066/67,142859.7,256243.3,399103,11.977101365269135,21.482979302567962,33.4600806678371,18.189233886279666,-7.506883472591014,0.298783079061522,,,,
2010/11**,2067/68,179328.39,259551.8,438880.19,11.475687747000103,16.609391357229168,28.085079104229273,25.527626055493613,1.2911557102175806,9.966647707484029,,,,
2011/12,2068/69,209120.204,309287.1,518407.304,11.89278209349642,17.589329076158684,29.482111169655106,16.612993625827997,19.16199386789073,18.120461076176625,,,,
2012/13,2069/70,207001.70900000003,333441.5,540443.209,10.619312534714764,17.10575008124253,27.72506261595729,-1.0130513262123486,7.809701730204722,4.250693389150257,,,,
2013/14,2070/71,201817.5,346819.1,548636.6,9.039875225112587,15.534834143153317,24.574709368265903,-2.5044281156152266,4.011978113102302,1.51605032009941,,,,
2014/15,2071/72,196785.80000000002,343261.8,540047.6,8.119437011445653,14.163077638404067,22.28251464984972,-2.4931931076343687,-1.0256932216247634,-1.565517138302468,,,,
2015/16,2072/73,234157.976,388762.785,622920.7609999999,8.97781508904128,14.90549438824459,23.88330947728587,18.991297136277097,13.255475849628468,15.345528986704139,,,,
2016/17,2073/74,283710.69999999995,413978.80237,697689.5023699999,9.21993300412103,13.453341107605954,22.673274111726982,21.16209101499919,6.486222020968398,12.002929754656222,,,,
2017/18,2074/75,390898.7,526154.11,917052.81,11.310892238781694,15.224590000432567,26.535482239214264,37.780739323543344,27.096872348971516,31.441394328686215,,,,
2018/19,2075/76,452967.7,594926.2,1047893.8999999999,11.73816712838358,15.41686783550826,27.15503496389184,15.87853835277528,13.070712305183733,14.267563282424248,,,,
2019/20,2076/77,613212,819667.1,1432879.1,15.769059693090703,21.07815800793616,36.84721770102687,35.3765400932561,37.77626535862768,36.738948475604275,,,,
2020/21,2077/78,800320.0673858501,934695.2,1735015.2673858502,18.387382639443647,21.474656195725892,39.86203883516954,30.51278634238244,14.033514337711011,21.085949776631537,,,,
2021/22,2078/79,984285.2472609002,1025847.1,2010132.3472609003,19.778435365276657,20.613588000500034,40.392023365776694,22.986450967792223,9.752045372651978,15.856752678007808,,,,
2022/23,2079/80,1129103.7,1170248.75976121,2299352.45976121,21.037907446377492,21.804538499957435,42.84244594633492,14.713057331917256,14.076333574585348,14.38811294661339,,,,
2023/24R,2080/81R,1180901.9,1257869,2438770.9,20.68456483314802,22.032713201754582,42.7172780349026,4.587550284353867,7.487317504755907,6.063378393639951,,,,
2024/25P,2081/82P,1268224.2,1401422.2,2669646.4,20.765981903386482,22.946974237050572,43.71295614043705,7.394543103029989,11.412412580324343,9.466879402243151,,,,
"* From 2022/23, domestic debt includes IMF Promissory Notes.",,,,,,,,,,,,,,
P = Provisional Estimate,,,,,,,,,,,,,,
R= Revised Estimate,,,,,,,,,,,,,,
"** Since 2010/11, GDP based on revised estimates published by CBS in April 2021 following SNA 2008.",,,,,,,,,,,,,,
Source: PDMO & NRB,,,,,,,,,,,,,,
